"PROJECTID","HOLIDAYID","HOLIDAYNAME","HOLIDAYDATE","HOLIDAYSTARTDATE","HOLIDAYENDDATE"
7,10,New Year's Day,2023-01-02,2023-01-02,2023-01-02
7,20,Dr. Martin Luther King Jr. Day,2023-01-16,2023-01-16,2023-01-16
7,30,Presidents' Day,2023-02-20,2023-02-20,2023-02-20
7,200,Cesar Chavez Day,2023-03-31,2023-03-31,2023-03-31
7,40,Memorial Day,2023-05-29,2023-05-29,2023-05-29
7,60,Independence Day,2023-07-04,2023-07-04,2023-07-04
7,70,Labor Day,2023-09-04,2023-09-04,2023-09-04
7,90,Veterans Day,2023-11-11,2023-11-11,2023-11-11
7,100,Thanksgiving Day,2023-11-23,2023-11-23,2023-11-23
7,110,Day After Thanksgiving,2023-11-24,2023-11-24,2023-11-24
7,130,Christmas Day,2023-12-25,2023-12-25,2023-12-25
